col_name,description,source,needs_review
arena_id,Unique identifier for arena.,heuristic,TRUE
arena_name,Arena name.,heuristic,TRUE
arena_state,Arena state.,heuristic,TRUE
arena_timezone,Arena timezone.,heuristic,TRUE
assignment,Assignment.,heuristic,TRUE
assist_percentage,Assist percentage (0-1).,curated,FALSE
assist_person_id,Unique identifier for assist person.,heuristic,TRUE
assist_player_name_initial,Assist player name initial.,heuristic,TRUE
assist_ratio,Assist ratio (assists per 100 possessions used).,curated,FALSE
assist_to_turnover,Assist-to-turnover ratio.,curated,FALSE
assist_to_turnover_ratio,Assist To Turnover Ratio.,espn_api,FALSE
assist_total,Assist total.,heuristic,TRUE
assister_name,Assister name (for made shots).,curated,FALSE
assists,Total assists.,curated,FALSE
assists_per_game,Assists Per Game.,espn_api,FALSE
assists_turnover_ratio,Assists turnover ratio.,heuristic,TRUE
ast,Assists.,curated,FALSE
ast_pct,Assist percentage (0-1).,curated,FALSE
ast_ratio,Assist ratio (assists per 100 possessions used).,curated,FALSE
ast_to,Assist-to-turnover ratio.,curated,FALSE
ast_to_ratio,Assist-to-turnover ratio.,curated,FALSE
athlete_display_name,Athlete display name (full).,curated,FALSE
athlete_first_name,Athlete first name.,curated,FALSE
athlete_full_name,Athlete full name.,curated,FALSE
athlete_guid,ESPN athlete GUID.,curated,FALSE
athlete_headshot_href,Athlete headshot image URL.,curated,FALSE
athlete_id,Unique athlete identifier (ESPN).,curated,FALSE
athlete_id_1,Primary athlete identifier (e.g. shooter).,curated,FALSE
athlete_id_2,Secondary athlete identifier (e.g. assister / fouler).,curated,FALSE
athlete_id_3,Athlete id 3.,heuristic,TRUE
athlete_jersey,Athlete jersey number.,curated,FALSE
athlete_last_name,Athlete last name.,curated,FALSE
athlete_links,JSON array of athlete-related links (serialized).,curated,FALSE
athlete_name,Athlete display name (ESPN).,curated,FALSE
athlete_position_abbreviation,Athlete position abbreviation (G / F / C).,curated,FALSE
athlete_position_name,"Athlete position ('Guard', 'Forward', 'Center').",curated,FALSE
athlete_short_name,Athlete short display name.,curated,FALSE
athlete_type,Athlete type / class.,curated,FALSE
athlete_uid,ESPN athlete UID (universal identifier).,curated,FALSE
attendance,Reported attendance.,curated,FALSE
average_3_point_field_goals_attempted,Average 3-Point Field Goals Attempted.,espn_api,FALSE
average_3_point_field_goals_made,Average 3-Point Field Goals Made.,espn_api,FALSE
average_field_goals_attempted,Average Field Goals Attempted.,espn_api,FALSE
average_field_goals_made,Average Field Goals Made.,espn_api,FALSE
average_free_throws_attempted,Average Free Throws Attempted.,espn_api,FALSE
average_free_throws_made,Average Free Throws Made.,espn_api,FALSE
avg_assists,The average assists per game.,espn_api,FALSE
avg_blocks,The average blocks per game.,espn_api,FALSE
avg_defensive_rebounds,The average defensive rebounds per game.,espn_api,FALSE
avg_field_goals_made_avg_field_goals_attempted,avgFieldGoalsMade-avgFieldGoalsAttempted.,espn_api,FALSE
avg_fouls,The average fouls committed per game.,espn_api,FALSE
avg_hgt,Avg hgt.,heuristic,TRUE
avg_hgt_rk,Avg hgt rk.,heuristic,TRUE
avg_minutes,The average number of minutes per game.,espn_api,FALSE
avg_offensive_rebounds,The average offensive rebounds per game.,espn_api,FALSE
avg_points,The average number of points scored per game.,espn_api,FALSE
avg_poss_length_def,Avg poss length def.,heuristic,TRUE
avg_poss_length_def_rk,Avg poss length def rk.,heuristic,TRUE
avg_poss_length_off,Avg poss length off.,heuristic,TRUE
avg_poss_length_off_rk,Avg poss length off rk.,heuristic,TRUE
avg_rebounds,The average rebounds per game.,espn_api,FALSE
avg_steals,The average steals per game.,espn_api,FALSE
avg_three_point_field_goals_made_avg_three_point_field_goals_attempted,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted.,espn_api,FALSE
avg_turnovers,The average turnovers committed per game.,espn_api,FALSE
avggravityscore,Avggravityscore.,heuristic,TRUE
avgoffballinteriorgravityscore,Avgoffballinteriorgravityscore.,heuristic,TRUE
avgoffballperimetergravityscore,Avgoffballperimetergravityscore.,heuristic,TRUE
avgonballinteriorgravityscore,Avgonballinteriorgravityscore.,heuristic,TRUE
avgonballperimetergravityscore,Avgonballperimetergravityscore.,heuristic,TRUE
avgpointsagainst,Avgpointsagainst.,heuristic,TRUE
avgpointsfor,Avgpointsfor.,heuristic,TRUE
away_abbreviation,Away team's abbreviation.,heuristic,TRUE
away_alternate_color,Color code (hex) for away alternate.,heuristic,TRUE
away_color,Color code (hex) for away.,heuristic,TRUE
away_conference_id,Unique identifier for away conference.,heuristic,TRUE
away_display_name,Away display name.,heuristic,TRUE
away_id,Unique identifier for away.,heuristic,TRUE
away_in_bonus,Away team's in bonus.,heuristic,TRUE
away_is_active,Away team's is active.,heuristic,TRUE
away_leaders_assists,Away team's leaders assists.,heuristic,TRUE
away_leaders_jersey_num,Away team's leaders jersey num.,heuristic,TRUE
away_leaders_name,Away leaders name.,heuristic,TRUE
away_leaders_person_id,Unique identifier for away leaders person.,heuristic,TRUE
away_leaders_player_slug,Away team's leaders player slug.,heuristic,TRUE
away_leaders_points,Away team's leaders points.,heuristic,TRUE
away_leaders_position,Away team's leaders position.,heuristic,TRUE
away_leaders_rebounds,Away team's leaders rebounds.,heuristic,TRUE
away_leaders_team_tricode,Away team's leaders team tricode.,heuristic,TRUE
away_location,Away team's location.,heuristic,TRUE
away_logo,Away team logo URL.,curated,FALSE
away_losses,Away team's losses.,heuristic,TRUE
away_name,Away name.,heuristic,TRUE
away_periods,Away team's periods.,heuristic,TRUE
away_player1,Away team's player1.,heuristic,TRUE
away_player2,Away team's player2.,heuristic,TRUE
away_player3,Away team's player3.,heuristic,TRUE
away_player4,Away team's player4.,heuristic,TRUE
away_player5,Away team's player5.,heuristic,TRUE
away_record,Away win-loss record.,curated,FALSE
away_score,Away team score at the time of the play.,curated,FALSE
away_score_at_event,Away score after this play / event.,curated,FALSE
away_seed,Away team's seed.,heuristic,TRUE
away_short_display_name,Away short display name.,heuristic,TRUE
away_team_abb,Away team's team abb.,heuristic,TRUE
away_team_abbrev,Away team three-letter abbreviation.,curated,FALSE
away_team_alternate_color,Away team alternate color (hex).,curated,FALSE
away_team_chance_loss,Away team's team chance loss.,heuristic,TRUE
away_team_city,Away team city / location.,curated,FALSE
away_team_color,Away team primary color (hex).,curated,FALSE
away_team_full,Full away team name and label.,curated,FALSE
away_team_full_name,Full away team name (e.g. 'Las Vegas Aces').,curated,FALSE
away_team_game_projection,Away team's team game projection.,heuristic,TRUE
away_team_id,Unique identifier for the away team.,curated,FALSE
away_team_in_bonus,Away team's team in bonus.,heuristic,TRUE
away_team_location,Away team's team location.,heuristic,TRUE
away_team_logo,Away team logo URL.,curated,FALSE
away_team_logo_dark,Away team logo URL for dark backgrounds.,curated,FALSE
away_team_losses,Away team's team losses.,heuristic,TRUE
away_team_mascot,Away team mascot.,curated,FALSE
away_team_name,Away team name.,curated,FALSE
away_team_name_alt,Alternate away team name.,curated,FALSE
away_team_odds_average_score,Away team's team odds average score.,heuristic,TRUE
away_team_odds_favorite,Away team's team odds favorite.,heuristic,TRUE
away_team_odds_money_line,Away team's team odds money line.,heuristic,TRUE
away_team_odds_money_line_odds,Away team's team odds money line odds.,heuristic,TRUE
away_team_odds_spread_odds,Away team's team odds spread odds.,heuristic,TRUE
away_team_odds_spread_record_losses,Away team's team odds spread record losses.,heuristic,TRUE
away_team_odds_spread_record_pushes,Away team's team odds spread record pushes.,heuristic,TRUE
away_team_odds_spread_record_summary,Away team's team odds spread record summary.,heuristic,TRUE
away_team_odds_spread_record_wins,Away team's team odds spread record wins.,heuristic,TRUE
away_team_odds_spread_return,Away team's team odds spread return.,heuristic,TRUE
away_team_odds_team_id,Unique identifier for away team odds team.,heuristic,TRUE
away_team_odds_underdog,Away team's team odds underdog.,heuristic,TRUE
away_team_odds_win_percentage,Away team odds win percentage (0-1 decimal).,heuristic,TRUE
away_team_record,Away team's win-loss record.,curated,FALSE
away_team_score,Away team's score.,curated,FALSE
away_team_seed,Away team's team seed.,heuristic,TRUE
away_team_slug,Away team's team slug.,heuristic,TRUE
away_team_time,Time / clock value.,heuristic,TRUE
away_team_timeouts_remaining,Away team's team timeouts remaining.,heuristic,TRUE
away_team_tricode,Away team three-letter code.,curated,FALSE
away_team_uid,ESPN UID of the away team.,curated,FALSE
away_team_winner,TRUE if the away team won this game.,curated,FALSE
away_team_wins,Away team's team wins.,heuristic,TRUE
away_timeouts_remaining,Away team's timeouts remaining.,heuristic,TRUE
away_uid,Away team's uid.,heuristic,TRUE
away_venue_id,Unique identifier for away venue.,heuristic,TRUE
away_win,Away team's win.,heuristic,TRUE
away_win_percentage,Away win percentage (0-1 decimal).,heuristic,TRUE
away_winner,Away team's winner.,heuristic,TRUE
away_wins,Away team's wins.,heuristic,TRUE
ball_distance_traveled,Ball distance traveled.,heuristic,TRUE
ball_reach_back,Ball reach back.,heuristic,TRUE
ball_speed_through_rim,Ball speed through rim.,heuristic,TRUE
bench,Bench.,heuristic,TRUE
bench_pct,Bench percentage (0-1 decimal).,heuristic,TRUE
bench_pct_rk,Bench pct rk.,heuristic,TRUE
bench_points,Points scored by the bench.,curated,FALSE
bench_rk,Bench rk.,heuristic,TRUE
best_rk,Best rk.,heuristic,TRUE
best_team,Best team.,heuristic,TRUE
best_yr,Best yr.,heuristic,TRUE
bids,Bids.,heuristic,TRUE
biggest_lead,Biggest lead.,heuristic,TRUE
biggest_lead_score,Biggest lead score.,heuristic,TRUE
biggest_run,Largest scoring run.,curated,FALSE
biggest_scoring_run,Biggest scoring run.,heuristic,TRUE
biggest_scoring_run_score,Biggest scoring run score.,heuristic,TRUE
birth_date,Date of birth (YYYY-MM-DD).,curated,FALSE
birth_place,Place of birth.,curated,FALSE
birth_place_city,Birth place city.,heuristic,TRUE
birth_place_country,Birth place country.,heuristic,TRUE
birth_place_state,Birth place state.,heuristic,TRUE
birthplace,Birthplace string.,curated,FALSE
blk,Blocks.,curated,FALSE
blk_pct,Blocks percentage (0-1 decimal).,heuristic,TRUE
blk_pct_rk,Blk pct rk.,heuristic,TRUE
blk_rk,Blk rk.,heuristic,TRUE
blk_to_ratio,Block-to-turnover ratio.,curated,FALSE
block_person_id,Unique identifier for block person.,heuristic,TRUE
block_player_name,Block player name.,heuristic,TRUE
blocker_name,Blocker name (for blocked shots).,curated,FALSE
blocks,Total blocks.,curated,FALSE
blocks_against,Shots blocked by opponents while attempting.,curated,FALSE
blocks_per_game,Blocks Per Game.,espn_api,FALSE
blocks_received,Shots blocked by opponents while attempting.,curated,FALSE
blowouts,Blowouts.,heuristic,TRUE
blowouts_rk,Blowouts rk.,heuristic,TRUE
box_out_player_rebounds,Box-outs that led to a player rebound.,curated,FALSE
box_out_player_team_rebounds,Box-outs that led to either a player or team rebound.,curated,FALSE
box_outs,Box-outs executed.,curated,FALSE
bpg,Blocks per game.,curated,FALSE
branch_link,Branch link.,heuristic,TRUE
broadcast,Broadcast information string.,curated,FALSE
broadcast_lang,Broadcast language code.,curated,FALSE
broadcast_market,"Broadcast market label (e.g. 'national', 'home').",curated,FALSE
broadcast_name,Broadcast name.,heuristic,TRUE
broadcast_type,Broadcast media type (TV / radio / streaming).,curated,FALSE
broadcaster,Broadcaster name or label.,curated,FALSE
broadcaster_abbreviation,Broadcaster abbreviation.,heuristic,TRUE
broadcaster_display,Broadcaster display.,heuristic,TRUE
broadcaster_id,Unique identifier for broadcaster.,heuristic,TRUE
broadcasts,JSON array of broadcast records.,curated,FALSE
byline,News article byline / author.,curated,FALSE
c_hgt,C hgt.,heuristic,TRUE
c_hgt_rk,C hgt rk.,heuristic,TRUE
c_min_pct,C min percentage (0-1 decimal).,heuristic,TRUE
c_number,C number.,heuristic,TRUE
c_pct,C percentage (0-1 decimal).,heuristic,TRUE
c_pct_d1_avg,C pct d1 avg.,heuristic,TRUE
c_pct_rk,C pct rk.,heuristic,TRUE
c_player_first_name,C player first name.,heuristic,TRUE
c_player_last_name,C player last name.,heuristic,TRUE
c_wgt,C wgt.,heuristic,TRUE
c_yr,C yr.,heuristic,TRUE
caption,Image / video caption.,curated,FALSE
caption_text,Caption text.,curated,FALSE
career_length,Career length in seasons.,curated,FALSE
catch_distance,Catch distance.,heuristic,TRUE
catching_hand,Catching hand.,heuristic,TRUE
category,Category label.,curated,FALSE
ch,Ch.,heuristic,TRUE
charges_drawn,Charges drawn.,curated,FALSE
chg,Chg.,heuristic,TRUE
citizenship,Citizenship.,heuristic,TRUE
city,City.,curated,FALSE
clinch_indicator,"Playoff clinch indicator (e.g. 'x' clinched playoff, 'e' eliminated).",curated,FALSE
clinched_ist_group,Clinched ist group.,heuristic,TRUE
clinched_ist_knockout,Clinched ist knockout.,heuristic,TRUE
clinched_ist_wildcard,Clinched ist wildcard.,heuristic,TRUE
clincher,Clincher.,heuristic,TRUE
clock,Game clock value.,curated,FALSE
clock_display_value,Game clock display string (e.g. '8:32').,curated,FALSE
clock_minutes,Clock minutes split out for convenience.,curated,FALSE
clock_seconds,Clock seconds split out for convenience.,curated,FALSE
close,Close.,heuristic,TRUE
close_rk,Close rk.,heuristic,TRUE
coach,Coach.,heuristic,TRUE
college,College or school attended.,curated,FALSE
color,Primary color (hex without leading '#').,curated,FALSE
comeback,Comeback.,heuristic,TRUE
comment,"Player status / inactive reason (e.g. 'DNP - Coach's Decision', 'Inactive').",curated,FALSE
comparisons,Comparisons.,heuristic,TRUE
conf,character.,describe:data.R,FALSE
conf.link,character.,describe:data.R,FALSE
conf.link.ref,character.,describe:data.R,FALSE
conf_sos,Conf sos.,heuristic,TRUE
conf_sos_rk,Conf sos rk.,heuristic,TRUE
conference,Conference.,heuristic,TRUE
conference_competition,Conference competition.,heuristic,TRUE
conference_game,Conference game.,heuristic,TRUE
conference_id,Conference identifier.,curated,FALSE
conference_logo,Logo image URL for conference.,heuristic,TRUE
conference_name,Full conference name.,curated,FALSE
conference_record,Conference win-loss record.,curated,FALSE
conference_short_name,Conference short name (e.g. 'ACC').,curated,FALSE
conference_uid,ESPN universal conference identifier.,curated,FALSE
conference_url,URL for conference.,heuristic,TRUE
content_id,Unique content identifier.,curated,FALSE
content_type,Content type label (article / video / image).,curated,FALSE
contested_field_goal_percentage,Contested field goal percentage (0-1).,curated,FALSE
contested_field_goals_attempted,Contested field goal attempts.,curated,FALSE
contested_field_goals_made,Contested field goals made.,curated,FALSE
contested_shots,Defensively contested shots.,curated,FALSE
contested_shots2pt,Contested shots2pt.,heuristic,TRUE
contested_shots3pt,Contested shots3pt.,heuristic,TRUE
contested_shots_2pt,Contested two-point shots.,curated,FALSE
contested_shots_3pt,Contested three-point shots.,curated,FALSE
continuity,Continuity.,heuristic,TRUE
continuity_rk,Continuity rk.,heuristic,TRUE
contract_active,Contract active.,heuristic,TRUE
contract_active_1,Contract active 1.,heuristic,TRUE
contract_active_2,Contract active 2.,heuristic,TRUE
contract_base_year_compensation_active,Contract base year compensation active.,heuristic,TRUE
contract_base_year_compensation_expiration,Contract base year compensation expiration.,heuristic,TRUE
contract_bird_status,Contract bird status.,heuristic,TRUE
contract_incoming_trade_value,Contract incoming trade value.,heuristic,TRUE
contract_minimum_salary_exception,Contract minimum salary exception.,heuristic,TRUE
contract_option_type,Contract option type.,heuristic,TRUE
contract_outgoing_trade_value,Contract outgoing trade value.,heuristic,TRUE
contract_salary,Contract salary.,heuristic,TRUE
contract_salary_remaining,Contract salary remaining.,heuristic,TRUE
contract_trade_kicker_active,Contract trade kicker active.,heuristic,TRUE
contract_trade_kicker_percentage,Contract trade kicker percentage (0-1 decimal).,heuristic,TRUE
contract_trade_kicker_trade_value,Contract trade kicker trade value.,heuristic,TRUE
contract_trade_kicker_value,Contract trade kicker value.,heuristic,TRUE
contract_trade_restriction,Contract trade restriction.,heuristic,TRUE
contract_unsigned_foreign_pick,Contract unsigned foreign pick.,heuristic,TRUE
contract_x_ref,Contract x ref.,heuristic,TRUE
contract_x_ref_1,Contract x ref 1.,heuristic,TRUE
contract_x_ref_2,Contract x ref 2.,heuristic,TRUE
contract_years_remaining,Contract years remaining.,heuristic,TRUE
coordinate_x,X coordinate on the court (half-court layout).,curated,FALSE
coordinate_x_raw,X coordinate as returned by the API before any adjustment.,curated,FALSE
coordinate_y,Y coordinate on the court (half-court layout).,curated,FALSE
coordinate_y_raw,Y coordinate as returned by the API before any adjustment.,curated,FALSE
correlations_r_x_100,Correlations r x 100.,heuristic,TRUE
count,Count of count.,heuristic,TRUE
country,Country (full name or code).,curated,FALSE
country_code,ISO country code (2-letter).,curated,FALSE
country_id,Country identifier.,curated,FALSE
current,Current.,heuristic,TRUE
d,D.,heuristic,TRUE
data,Data.,heuristic,TRUE
date,Date in YYYY-MM-DD format.,curated,FALSE
date_of_birth,Date of birth (YYYY-MM-DD).,curated,FALSE
date_published,Publication date (YYYY-MM-DD).,curated,FALSE
day,Day number within the month.,curated,FALSE
day_date,Date in YYYY-MM-DD format.,heuristic,TRUE
de,De.,heuristic,TRUE
de_rk,De rk.,heuristic,TRUE
debut_date,Date of professional debut (YYYY-MM-DD).,curated,FALSE
debut_year,Year of professional debut.,curated,FALSE
deep_link,Deep link URL into wnba.com / espn.com.,curated,FALSE
def_a_pct,Def a percentage (0-1 decimal).,heuristic,TRUE
def_a_pct_rk,Def a pct rk.,heuristic,TRUE
def_apl,Def apl.,heuristic,TRUE
def_apl_rk,Def apl rk.,heuristic,TRUE
def_blk_pct,Def blocks percentage (0-1 decimal).,heuristic,TRUE
def_blk_pct_rk,Def blk pct rk.,heuristic,TRUE
def_e_fg_pct,Def e field goals percentage (0-1 decimal).,heuristic,TRUE
def_e_fg_pct_rk,Def e fg pct rk.,heuristic,TRUE
def_eff,Def eff.,heuristic,TRUE
def_eff_rk,Def eff rk.,heuristic,TRUE
def_fg_2_pct,Def field goals 2 percentage (0-1 decimal).,heuristic,TRUE
def_fg_2_pct_rk,Def fg 2 pct rk.,heuristic,TRUE
def_fg_3_pct,Def field goals 3 percentage (0-1 decimal).,heuristic,TRUE
def_fg_3_pct_rk,Def fg 3 pct rk.,heuristic,TRUE
def_fg_3a_pct,Def field goals 3a percentage (0-1 decimal).,heuristic,TRUE
def_fg_3a_pct_rk,Def fg 3a pct rk.,heuristic,TRUE
def_fga_2,Def fga 2.,heuristic,TRUE
def_fga_3,Def fga 3.,heuristic,TRUE
def_fgm_2,Def fgm 2.,heuristic,TRUE
def_fgm_3,Def fgm 3.,heuristic,TRUE
def_ft_pct,Def free throws percentage (0-1 decimal).,heuristic,TRUE
def_ft_pct_rk,Def ft pct rk.,heuristic,TRUE
def_ft_rate,Def ft rate.,heuristic,TRUE
def_ft_rate_rk,Def ft rate rk.,heuristic,TRUE
def_ftr,Def ftr.,heuristic,TRUE
def_non_stl_pct,Def non steals percentage (0-1 decimal).,heuristic,TRUE
def_non_stl_pct_rk,Def non stl pct rk.,heuristic,TRUE
def_or_pct,Def or percentage (0-1 decimal).,heuristic,TRUE
def_or_pct_rk,Def or pct rk.,heuristic,TRUE
def_rating,Defensive rating (points allowed per 100 possessions).,curated,FALSE
def_stl_pct,Def steals percentage (0-1 decimal).,heuristic,TRUE
def_stl_pct_rk,Def stl pct rk.,heuristic,TRUE
def_to_pct,Def to percentage (0-1 decimal).,heuristic,TRUE
def_to_pct_rk,Def to pct rk.,heuristic,TRUE
default,Default value for the parameter or field.,curated,FALSE
defended_at_rim_field_goal_percentage,Field goal percentage allowed at the rim (0-1).,curated,FALSE
defended_at_rim_field_goals_attempted,Field goal attempts allowed when defending at the rim.,curated,FALSE
defended_at_rim_field_goals_made,Field goals made allowed when defending at the rim.,curated,FALSE
defensive_average,Average defensive value (context-dependent).,curated,FALSE
defensive_avg48blocks,The average number of blocks per 48 minutes.,espn_api,FALSE
defensive_avg48defensive_rebounds,The average number of defensive rebounds per 48 minutes.,espn_api,FALSE
defensive_avg48steals,The average number of steals per 48 minutes.,espn_api,FALSE
defensive_avg_blocks,The average blocks per game.,espn_api,FALSE
defensive_avg_defensive_rebounds,The average defensive rebounds per game.,espn_api,FALSE
defensive_avg_steals,The average steals per game.,espn_api,FALSE
defensive_blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",espn_api,FALSE
defensive_box_outs,Defensive box outs.,heuristic,TRUE
defensive_contest_level,Defensive contest level.,heuristic,TRUE
defensive_contest_subscore,Defensive contest subscore.,heuristic,TRUE
defensive_def_rebound_rate,The percentage of missed shots that a team rebounds defensively. Rebound Rate = (Defensive Rebounds x Team Minutes) divided by [Player Minutes x (Team Defensive Rebounds + Opponent Defensive Rebounds)].,espn_api,FALSE
defensive_defensive_rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,espn_api,FALSE
defensive_drpm,Defensive Real Plus-Minus.,espn_api,FALSE
defensive_rating,Defensive rating (points allowed per 100 possessions).,curated,FALSE
defensive_rebound_percentage,Defensive rebound percentage (0-1).,curated,FALSE
defensive_rebounds,Defensive rebounds.,curated,FALSE
defensive_rebounds_per_game,Defensive Rebounds Per Game.,espn_api,FALSE
defensive_steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,espn_api,FALSE
defensive_turnover_points,The amount of points resulting from the possession following a turnover.,espn_api,FALSE
deflections,Defensive deflections.,curated,FALSE
description,Long-form description text.,curated,FALSE
description_long,Long-form description text.,curated,FALSE
description_short,Short description text.,curated,FALSE
descriptor,Descriptor.,heuristic,TRUE
details,Details.,heuristic,TRUE
did_not_play,TRUE if the player did not appear in the game.,curated,FALSE
diff,Diff.,heuristic,TRUE
differential,Differential.,heuristic,TRUE
disabled,TRUE if the record is disabled / inactive.,curated,FALSE
display_clock,Game clock display string (e.g. '8:32').,curated,FALSE
display_date,Date display string.,curated,FALSE
display_height,Player height in display format (e.g. '6-2').,curated,FALSE
display_name,Display name.,curated,FALSE
display_value,Human-readable display value.,curated,FALSE
display_weight,Player weight in display format (e.g. '180 lbs').,curated,FALSE
displayrank,Display rank for the row.,curated,FALSE
disqualifications,Total disqualifications.,curated,FALSE
distance,Distance value (in feet for shot data; otherwise context-dependent).,curated,FALSE
division,Team division.,curated,FALSE
division_record,Division win-loss record.,curated,FALSE
divisionwinpercent,Divisionwinpercent.,heuristic,TRUE
dominance,Dominance.,heuristic,TRUE
dominance_rk,Dominance rk.,heuristic,TRUE
dominance_season_rk,Dominance season rk.,heuristic,TRUE
double_double,TRUE if the player recorded a double-double in this game.,curated,FALSE
dr,Dr.,heuristic,TRUE
dr_pct,Dr percentage (0-1 decimal).,heuristic,TRUE
dr_pct_rk,Dr pct rk.,heuristic,TRUE
draft_display_text,Draft display text.,heuristic,TRUE
draft_overall,Overall pick number.,curated,FALSE
draft_pick,Pick number within the round.,curated,FALSE
draft_round,Round of the draft selection.,curated,FALSE
draft_selection,Draft selection.,heuristic,TRUE
draft_x_ref,Draft x ref.,heuristic,TRUE
draft_x_ref_1,Draft x ref 1.,heuristic,TRUE
draft_year,Draft year (4-digit).,curated,FALSE
draws,Total draws.,curated,FALSE
dreb,Defensive rebounds.,curated,FALSE
dreb_pct,Defensive rebound percentage (0-1).,curated,FALSE
dreb_rate,Defensive rebound rate (0-1).,curated,FALSE
dsc,Dsc.,heuristic,TRUE
dunk360,Dunk360.,heuristic,TRUE
dunk_score,Dunk score.,heuristic,TRUE
dunking_hand,Dunking hand.,heuristic,TRUE
dur,Dur.,heuristic,TRUE
duration,Duration.,heuristic,TRUE
e_fg,E fg.,heuristic,TRUE
e_fg_pct,E field goals percentage (0-1 decimal).,heuristic,TRUE
e_fg_pct_rk,E fg pct rk.,heuristic,TRUE
edited,Edited.,heuristic,TRUE
eff,Eff.,heuristic,TRUE
eff_hgt,Eff hgt.,heuristic,TRUE
eff_hgt_rk,Eff hgt rk.,heuristic,TRUE
eff_rk,Eff rk.,heuristic,TRUE
effective_field_goal_percentage,Effective field goal percentage (0-1).,curated,FALSE
efficiency,Efficiency.,heuristic,TRUE
efg_pct,Effective field goal percentage (0-1).,curated,FALSE
ei,Ei.,heuristic,TRUE
ejected,TRUE if the player was ejected from the game.,curated,FALSE
ejections,Total ejections.,curated,FALSE
elev,Elev.,heuristic,TRUE
elev_rk,Elev rk.,heuristic,TRUE
em_chg,Em chg.,heuristic,TRUE
enabled,TRUE if the feature / field is enabled.,curated,FALSE
end,End.,heuristic,TRUE
end_date,End date (YYYY-MM-DD).,curated,FALSE
end_game_seconds_remaining,Seconds remaining in the game at the end of the play.,curated,FALSE
end_half_seconds_remaining,Seconds remaining in the half at the end of the play.,curated,FALSE
end_quarter_seconds_remaining,Seconds remaining in the period at the end of the play.,curated,FALSE
espn_team_id,Unique identifier for espn team.,heuristic,TRUE
estimated_defensive_rating,Estimated defensive rating (points allowed per 100 possessions estimate).,curated,FALSE
estimated_net_rating,Estimated net rating (off rating - def rating).,curated,FALSE
estimated_offensive_rating,Estimated offensive rating (points per 100 possessions estimate).,curated,FALSE
estimated_pace,Estimated possessions per 48 minutes.,curated,FALSE
estimated_team_turnover_percentage,Estimated team turnover percentage (0-1).,curated,FALSE
estimated_usage_percentage,Estimated usage percentage (0-1).,curated,FALSE
event,Event.,heuristic,TRUE
event_action_type,Numeric event-action-type code (V2 PBP).,curated,FALSE
event_guid,ESPN GUID for the event.,curated,FALSE
event_id,Unique event / game identifier (ESPN).,curated,FALSE
event_num,Sequential event number within the game (V2 PBP).,curated,FALSE
event_ref,Reference link to the originating event.,curated,FALSE
event_status_completed,TRUE if the event has completed.,curated,FALSE
event_status_state,"Event status state ('pre', 'in', 'post').",curated,FALSE
event_status_type,Event status type code.,curated,FALSE
event_type,Event / play type code (V2 PBP).,curated,FALSE
event_uid,ESPN UID for the event.,curated,FALSE
